Game,Edition,Manufacturer,Vehicle,Category,Class,Original Value,REMIX Value,Acquisition Type,Unlock / Acquisition,Stock Accel,Stock Top Speed,Stock Handling,Max Accel,Max Top Speed,Max Handling,Stock Composite,Max Composite,Composite Gain,Gain %,Max Speed Percentile (Class),Starter?,Stats Source,Unlock Source,Confidence,Notes
Midnight Club 3: DUB Edition,REMIX only,Scion,tC,Tuners,D,,16000,Purchase,Starter-eligible in REMIX; Class D base roster,13.6,20.7,25.7,23.8,49.7,51.2,20,41.567,21.567,1.078,0.125,Yes,S1,S1,C,
Midnight Club 3: DUB Edition,Original + REMIX,Mitsubishi,Eclipse,Tuners,D,21200,21200,Purchase,Starter-eligible; Class D base roster,13.8,28.3,34,23.2,53.2,49.7,25.367,42.033,16.667,0.657,0.375,Yes,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Volkswagen,Jetta,Tuners,D,21350,21350,Purchase,Starter-eligible; Class D base roster,13.6,28.4,27.4,22,51.7,45,23.133,39.567,16.433,0.71,0.312,Yes,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Dodge,SRT4,Tuners,D,21450,21450,Purchase,Starter-eligible; Class D base roster,14.6,35.5,39.2,28.1,55.2,55.2,29.767,46.167,16.4,0.551,0.812,Yes,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Volkswagen,Golf R32,Tuners,D,21750,21750,Purchase,Starter-eligible; Class D base roster,12.3,33.4,41,27.7,53.9,56.7,28.9,46.1,17.2,0.595,0.625,Yes,S1; S6,S1,B,
Midnight Club 3: DUB Edition,REMIX only,Chevrolet,Cobalt SS,Tuners,D,,21995,Prize,Win Tokyo Unbeatable Street Racers Tournament,14.3,37.5,36,27.2,53.9,56,29.267,45.7,16.433,0.562,0.625,No,S1,S2,C,
Midnight Club 3: DUB Edition,Original + REMIX,Lexus,IS300,Tuners,D,29980,29980,Prize,Win San Diego City Tournament,15.3,37.5,40,29.5,55.2,58.2,30.933,47.633,16.7,0.54,0.812,No,S1; S6,S2,B,
Midnight Club 3: DUB Edition,Original + REMIX,Chevrolet,78 Monte Carlo,Muscle Cars,D,20750,20750,Purchase,Starter-eligible; Class D base roster,10.8,27,20,19.1,50.4,33.5,19.267,34.333,15.067,0.782,0.188,Yes,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Chevrolet,64 Impala,Muscle Cars,D,21000,21000,Purchase,Starter-eligible; Class D base roster,13.5,28.3,22.2,23.3,53.9,37.2,21.333,38.133,16.8,0.788,0.625,Yes,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Chevrolet,57 Bel Air,Muscle Cars,D,37000,37000,Prize,Win San Diego Stage Tournament,11.1,24.8,16.7,22.5,57.5,35.2,17.533,38.4,20.867,1.19,0.938,No,S1; S6,S2,B,
Midnight Club 3: DUB Edition,Original + REMIX,Hummer,H1,SUV / Trucks,D,117508,117508,Purchase,Class D base roster; unlocked from start but above starting cash,9,20,19.2,13.5,37.5,28.2,16.067,26.4,10.333,0.643,0.062,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,REMIX only,Dodge,05 Magnum RT,Luxury Sedans,D,,32070,Prize,Win Tokyo Ginza Tournament,12.8,30.6,34,26.5,53.9,53.5,25.8,44.633,18.833,0.73,0.625,No,S1,S2,C,
Midnight Club 3: DUB Edition,Original + REMIX,Chrysler,300C,Luxury Sedans,D,32995,32995,Prize,Win San Diego Balboa Park Tournament,13.8,30.6,37.2,28.2,51.7,56.7,27.2,45.533,18.333,0.674,0.312,No,S1; S6,S2,B,
Midnight Club 3: DUB Edition,REMIX only,Infiniti,G35,Luxury Sedans,D,,33150,Prize,Win Tokyo Luxury Rollers Tournament,20.2,39,36.4,32.7,56.7,55.2,31.867,48.2,16.333,0.513,0.875,No,S1,S2,C,
Midnight Club 3: DUB Edition,Original + REMIX,Lexus,GS430,Luxury Sedans,D,48600,48600,Purchase,Class D base roster,14,34,40.7,26.2,55.2,55.5,29.567,45.633,16.067,0.543,0.812,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Cadillac,CTS-V,Luxury Sedans,D,54495,54495,Purchase,Class D base roster,15.5,39,45.4,31,58.9,59,33.3,49.633,16.333,0.49,1,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,REMIX only,Nissan,Sport Concept,Tuners,C,,28000,Prize,Win Tokyo Asakusa Tournament,19.8,43.2,34.5,34.5,61.7,57.5,32.5,51.233,18.733,0.576,0.576,No,S1,S2,C,
Midnight Club 3: DUB Edition,Original + REMIX,Mitsubishi,Lancer Evolution VIII,Tuners,C,29999,29999,Purchase,Unlock Class C license after 11 San Diego street races,19.2,41.9,40.7,35,64.5,60.7,33.933,53.4,19.467,0.574,0.909,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Nissan,350Z,Tuners,C,34666,34666,Purchase,Unlock Class C license after 11 San Diego street races,23.7,44.7,29.7,39,62.4,54,32.7,51.8,19.1,0.584,0.667,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Toyota,98 Supra,Tuners,C,37975,37975,Purchase,Unlock Class C license after 11 San Diego street races,17.5,50.4,32,32.9,68,58.2,33.3,53.033,19.733,0.593,0.97,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Lotus,Elise,Tuners,C,39998,39998,Purchase,Unlock Class C license after 11 San Diego street races,26,50.4,50.5,43,64.5,68,42.3,58.5,16.2,0.383,0.909,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Nissan,02 Skyline,Tuners,C,41500,41500,Prize,Complete Unbeatable Street Racers club,21.3,46,43.9,42,68,65.8,37.067,58.6,21.533,0.581,0.97,No,S1; S6,S2,B,
Midnight Club 3: DUB Edition,Original + REMIX,Chevrolet,96 Impala SS,Muscle Cars,C,35750,35750,Purchase,Unlock Class C license after 11 San Diego street races,19.5,39,29.3,33.2,58.9,45.4,29.267,45.833,16.567,0.566,0.455,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,REMIX only,Cadillac,70 El Dorado,Muscle Cars,C,,37000,Purchase,Unlock Class C license after 11 San Diego street races,22.5,36.9,23.5,31.7,59.5,36.4,27.633,42.533,14.9,0.539,0.485,No,S1,S1,C,
Midnight Club 3: DUB Edition,REMIX only,Cadillac,66 DeVille,Muscle Cars,C,,37165,Prize,Win Tokyo American Royalty Car Club Tournament,20.5,36.2,18.7,31.7,58.9,36.4,25.133,42.333,17.2,0.684,0.455,No,S1,S2,C,
Midnight Club 3: DUB Edition,Original + REMIX,Chevrolet,70 El Camino SS,Muscle Cars,C,37250,37250,Purchase,Unlock Class C license after 11 San Diego street races,20.5,38.4,19.2,31.7,63,34.4,26.033,43.033,17,0.653,0.697,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,REMIX only,Chevrolet,70 Chevelle,Muscle Cars,C,,39300,Purchase,Unlock Class C license after 11 San Diego street races,23.1,40.5,28.2,35.5,64.5,43,30.6,47.667,17.067,0.558,0.909,No,S1,S1,C,
Midnight Club 3: DUB Edition,Original + REMIX,Dodge,69 Charger R/T,Muscle Cars,C,37450,37450,Purchase,Unlock Class C license after 11 San Diego street races,19.2,40.5,27,32.2,64.5,41.9,28.9,46.2,17.3,0.599,0.909,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Pontiac,68 GTO,Muscle Cars,C,42150,42150,Purchase,Unlock Class C license after 11 San Diego street races,20.6,39.7,29,34.4,63.7,46.5,29.767,48.2,18.433,0.619,0.727,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,Original + REMIX,Chevrolet,49 Fleetline,Muscle Cars,C,42500,42500,Prize,Win Detroit Bad Boyz Tournament,18.2,44.7,16.7,28.8,62.4,26.2,26.533,39.133,12.6,0.475,0.667,No,S1; S6,S2,B,
Midnight Club 3: DUB Edition,Original + REMIX,Hotmatch,Cuevito,Choppers,C,65000,65000,Prize,Defeat Phil in San Diego,40.2,41.2,46.2,53.7,56,46.2,42.533,51.967,9.433,0.222,0.273,No,S1; S6,S2,B,
Midnight Club 3: DUB Edition,Original + REMIX,West Coast Choppers,CFL,Choppers,C,60000,60000,Purchase,Unlock Class C license after 11 San Diego street races,46.4,42.5,52,58.2,57.5,52,46.967,55.9,8.933,0.19,0.333,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,REMIX only,Hotmatch,Chingon,Choppers,C,,113000,Prize,Win Tokyo Chopper of America Tournament,40.2,42.5,51.2,53.7,64.5,51.2,44.633,56.467,11.833,0.265,0.909,No,S1,S2,C,
Midnight Club 3: DUB Edition,Original + REMIX,West Coast Choppers,El Diablo Soft Tail,Choppers,C,125000,125000,Purchase,Unlock Class C license after 11 San Diego street races,42,43.2,43,55.9,58.9,43,42.733,52.6,9.867,0.231,0.455,No,S1; S6,S1,B,
Midnight Club 3: DUB Edition,REMIX only,Chevrolet,SSR,SUV / Trucks,C,,43180,Purchase,Unlock Class C license after 11 San Diego street races,16.2,33.4,28.2,26,51.7,42.2,25.933,39.967,14.033,0.541,0.212,No,S1,S1,C,
Midnight Club 3: DUB Edition,REMIX only,Infiniti,FX45,SUV / Trucks,C,,45450,Purchase,Unlock Class C license after 11 San Diego street races,11,34,32,25,51.7,48.5,25.667,41.733,16.067,0.626,0.212,No,S1,S1,C,
Midnight Club 3: DUB Edition,REMIX only,GMC,Yukon Denali,SUV / Trucks,C,,51935,Purchase,Unlock Class C license after 11 San Diego street races,9.8,32.7,25.7,18.5,49.7,44.2,22.733,37.467,14.733,0.648,0.061,No,S1,S1,C,
