Payout ID,Opponent class,Opponent subrank,Difficulty,Finish position,Estimated REP,Basis,Source,Confidence
RP-001,D,1,Green,1,80,Approximate first-place award,LA01 p.5,A
RP-002,D,1,Yellow,1,100,Approximate first-place award,LA01 p.5,A
RP-003,D,1,Orange,1,110,Approximate first-place award,LA01 p.5,A
RP-004,D,1,Red,1,130,Approximate first-place award,LA01 p.5,A
RP-005,D,2,Green,1,90,Approximate first-place award,LA01 p.5,A
RP-006,D,2,Yellow,1,110,Approximate first-place award,LA01 p.5,A
RP-007,D,2,Orange,1,120,Approximate first-place award,LA01 p.5,A
RP-008,D,2,Red,1,140,Approximate first-place award,LA01 p.5,A
RP-009,D,3,Green,1,100,Approximate first-place award,LA01 p.5,A
RP-010,D,3,Yellow,1,120,Approximate first-place award,LA01 p.5,A
RP-011,D,3,Orange,1,130,Approximate first-place award,LA01 p.5,A
RP-012,D,3,Red,1,150,Approximate first-place award,LA01 p.5,A
RP-013,D,4,Green,1,110,Approximate first-place award,LA01 p.5,A
RP-014,D,4,Yellow,1,130,Approximate first-place award,LA01 p.5,A
RP-015,D,4,Orange,1,140,Approximate first-place award,LA01 p.5,A
RP-016,D,4,Red,1,160,Approximate first-place award,LA01 p.5,A
RP-017,D,5,Green,1,120,Approximate first-place award,LA01 p.5,A
RP-018,D,5,Yellow,1,140,Approximate first-place award,LA01 p.5,A
RP-019,D,5,Orange,1,150,Approximate first-place award,LA01 p.5,A
RP-020,D,5,Red,1,170,Approximate first-place award,LA01 p.5,A
RP-021,C,1,Green,1,130,Approximate first-place award,LA01 p.5,A
RP-022,C,1,Yellow,1,150,Approximate first-place award,LA01 p.5,A
RP-023,C,1,Orange,1,160,Approximate first-place award,LA01 p.5,A
RP-024,C,1,Red,1,180,Approximate first-place award,LA01 p.5,A
RP-025,C,2,Green,1,140,Approximate first-place award,LA01 p.5,A
RP-026,C,2,Yellow,1,160,Approximate first-place award,LA01 p.5,A
RP-027,C,2,Orange,1,170,Approximate first-place award,LA01 p.5,A
RP-028,C,2,Red,1,190,Approximate first-place award,LA01 p.5,A
RP-029,C,3,Green,1,150,Approximate first-place award,LA01 p.5,A
RP-030,C,3,Yellow,1,170,Approximate first-place award,LA01 p.5,A
RP-031,C,3,Orange,1,180,Approximate first-place award,LA01 p.5,A
RP-032,C,3,Red,1,200,Approximate first-place award,LA01 p.5,A
RP-033,C,4,Green,1,160,Approximate first-place award,LA01 p.5,A
RP-034,C,4,Yellow,1,180,Approximate first-place award,LA01 p.5,A
RP-035,C,4,Orange,1,190,Approximate first-place award,LA01 p.5,A
RP-036,C,4,Red,1,210,Approximate first-place award,LA01 p.5,A
RP-037,C,5,Green,1,170,Approximate first-place award,LA01 p.5,A
RP-038,C,5,Yellow,1,190,Approximate first-place award,LA01 p.5,A
RP-039,C,5,Orange,1,200,Approximate first-place award,LA01 p.5,A
RP-040,C,5,Red,1,220,Approximate first-place award,LA01 p.5,A
RP-041,B,1,Green,1,180,Approximate first-place award,LA01 p.5,A
RP-042,B,1,Yellow,1,200,Approximate first-place award,LA01 p.5,A
RP-043,B,1,Orange,1,210,Approximate first-place award,LA01 p.5,A
RP-044,B,1,Red,1,230,Approximate first-place award,LA01 p.5,A
RP-045,B,2,Green,1,190,Approximate first-place award,LA01 p.5,A
RP-046,B,2,Yellow,1,210,Approximate first-place award,LA01 p.5,A
RP-047,B,2,Orange,1,220,Approximate first-place award,LA01 p.5,A
RP-048,B,2,Red,1,240,Approximate first-place award,LA01 p.5,A
