Vehicle ID,Vehicle / variant,Year,Manufacturer,Type,Content pack,Purchase group,Listed base class,Starter choice,Showroom price,Purchase REP gate,Named prize route?,Quoted full tune cost,Price + quoted tune,Availability,Edition scope,Price sources,Price confidence,Class source,Class confidence,Tune source,Tune confidence,Notes
LA-001,Volkswagen Golf GTI,1983,Volkswagen,Tuners,Base,1,D,Yes,3000,0,No,17680,20680,Offline progression,Original + Complete,LA02; LA03,B,LA03,C,LA02,C,FAQ misprints year as 1993. Starter list identifies 1983.
LA-002,Volkswagen Scirocco,1988,Volkswagen,Tuners,Base,1,D,Yes,3500,0,No,17680,21180,Offline progression,Original + Complete,LA01; LA03,A,LA03,C,LA01,A,
LA-003,Datsun 280Z,1975,Datsun,Tuners,Base,1,D,No,4000,0,Yes,17680,21680,Offline progression,Original + Complete,LA02; LA03,B,LA03,C,LA02,C,FAQ wrongly lists this as a starter; awarded by Karol.
LA-004,Nissan 240SX,1998,Nissan,Tuners,Base,1,D,Yes,4500,0,No,17680,22180,Offline progression,Original + Complete,LA01; LA03,A,LA03,C,LA01,A,Official guide confirms starter eligibility and tuning cost.
LA-005,Mitsubishi Eclipse GSX,1999,Mitsubishi,Tuners,Base,2,C,No,12000,2000,Yes,25910,37910,Offline progression,Original + Complete,LA02; LA03,B,LA03,C,LA02,C,
LA-006,Ford SVT Focus,2004,Ford,Tuners,Base,2,C,No,17000,2000,Yes,25910,42910,Offline progression,Original + Complete,LA02; LA03,B,LA03,C,LA02,C,
LA-007,Pontiac Solstice,2006,Pontiac,Tuners,Base,2,C,No,20000,2000,No,25910,45910,Offline progression,Original + Complete,LA02; LA03,B,LA03,C,LA02,C,
LA-008,Chevrolet Cobalt SS Supercharged,2006,Chevrolet,Tuners,Base,2,C,No,20000,2000,No,25910,45910,Offline progression,Original + Complete,LA02; LA03,B,LA03,C,LA02,C,
LA-009,Mazda RX-8 Shinka,2006,Mazda,Tuners,Base,2,C,No,26000,2000,Yes,25910,51910,Offline progression,Original + Complete,LA02; LA03,B,LA03,C,LA02,C,
LA-010,Mitsubishi 3000GT VR-4,1999,Mitsubishi,Tuners,Base,3,C,No,28000,8060,Yes,38880,66880,Offline progression,Original + Complete,LA02; LA03,B,LA03,C,LA02,C,
LA-011,Mazda RX-7,1995,Mazda,Tuners,Base,3,B,No,32000,8060,No,38880,70880,Offline progression,Original + Complete,LA02; LA03,B,LA03,C,LA02,C,
LA-012,Mitsubishi Lancer Evolution IX MR,2006,Mitsubishi,Tuners,Base,3,B,No,32000,8060,Yes,38880,70880,Offline progression,Original + Complete,LA02; LA03,B,LA03,C,LA02,C,
LA-013,Volkswagen R32,2008,Volkswagen,Tuners,Base,3,C,No,35000,8060,No,38880,73880,Offline progression,Original + Complete,LA02; LA03,B,LA03,C,LA02,C,
